"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","30","CancelSubscription_WhenValidModel_ReturnsInactiveSubscription","SubsTracker.UnitTests","Fri Mar 27 10:55:55 UTC 2026","passed","Fri Mar 27 10:55:55 UTC 2026","SubscriptionServiceTests","SubsTracker.UnitTests","SubsTracker.UnitTests.SubscriptionServiceTests","CancelSubscription_WhenValidModel_ReturnsInactiveSubscription"
"Verifies that a valid DTO creates a new subscription, persists it to the DB, and returns the view model","137","Create_WhenValidData_ReturnsCreatedSubscription","","Fri Mar 27 10:56:21 UTC 2026","passed","Fri Mar 27 10:56:21 UTC 2026","","Subscription API","SubsTracker.IntegrationTests.Subscription.SubscriptionsControllerTests","Create_WhenValidData_ReturnsCreatedSubscription"
"","6","Delete_WhenEmptyGuid_ThrowsNotFoundException","SubsTracker.UnitTests","Fri Mar 27 10:55:55 UTC 2026","passed","Fri Mar 27 10:55:55 UTC 2026","GroupServiceTests","SubsTracker.UnitTests","SubsTracker.UnitTests.GroupServiceTests","Delete_WhenEmptyGuid_ThrowsNotFoundException"
"Verifies that a participant can be promoted to a moderator and an event is published","79","ChangeRole_WhenParticipant_PromotesToModerator","","Fri Mar 27 10:56:26 UTC 2026","passed","Fri Mar 27 10:56:26 UTC 2026","","Group API","SubsTracker.IntegrationTests.Group.GroupsControllerTests","ChangeRole_WhenParticipant_PromotesToModerator"
"Verifies that the authenticated user can update their own profile details","159","Update_WhenValidData_ReturnsUpdatedUser","","Fri Mar 27 10:56:21 UTC 2026","passed","Fri Mar 27 10:56:21 UTC 2026","","User API","SubsTracker.IntegrationTests.User.UsersControllerTests","Update_WhenValidData_ReturnsUpdatedUser"
"Verifies that a subscription is marked inactive and a cancellation event is published to the bus","64","CancelSubscription_ShouldUpdateDatabaseAndPublishEvent","","Fri Mar 27 10:56:22 UTC 2026","passed","Fri Mar 27 10:56:22 UTC 2026","","Subscription API","SubsTracker.IntegrationTests.Subscription.SubscriptionsControllerTests","CancelSubscription_ShouldUpdateDatabaseAndPublishEvent"
"","23","GetFullInfoById_WhenMemberExists_FetchesFromRepoAndMaps","SubsTracker.UnitTests","Fri Mar 27 10:55:56 UTC 2026","passed","Fri Mar 27 10:55:56 UTC 2026","MemberServiceTests","SubsTracker.UnitTests","SubsTracker.UnitTests.MemberServiceTests","GetFullInfoById_WhenMemberExists_FetchesFromRepoAndMaps"
"","53","Update_WhenValidModel_ReturnsUpdatedEntity","SubsTracker.UnitTests","Fri Mar 27 10:55:55 UTC 2026","passed","Fri Mar 27 10:55:55 UTC 2026","SubscriptionServiceTests","SubsTracker.UnitTests","SubsTracker.UnitTests.SubscriptionServiceTests","Update_WhenValidModel_ReturnsUpdatedEntity"
"Verifies that the API returns an empty list and zero total count when no users match the email filter","840","GetAll_WhenFilteredByNonExistentEmail_ReturnsEmptyList","","Fri Mar 27 10:56:20 UTC 2026","passed","Fri Mar 27 10:56:20 UTC 2026","","User API","SubsTracker.IntegrationTests.User.UsersControllerTests","GetAll_WhenFilteredByNonExistentEmail_ReturnsEmptyList"
"","64","GetAll_WhenFilteredByPartialName_ReturnsMatchingGroups","SubsTracker.UnitTests","Fri Mar 27 10:55:55 UTC 2026","passed","Fri Mar 27 10:55:55 UTC 2026","GroupServiceTests","SubsTracker.UnitTests","SubsTracker.UnitTests.GroupServiceTests","GetAll_WhenFilteredByPartialName_ReturnsMatchingGroups"
