"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","55","GetFullInfoById_WhenMemberExists_FetchesFromRepoAndMaps","SubsTracker.UnitTests","Mon Jun 22 15:55:51 UTC 2026","passed","Mon Jun 22 15:55:51 UTC 2026","MemberServiceTests","SubsTracker.UnitTests","SubsTracker.UnitTests.MemberServiceTests","GetFullInfoById_WhenMemberExists_FetchesFromRepoAndMaps"
"","2","GetAll_WhenFilteredByNonExistentName_ReturnsEmptyList","SubsTracker.UnitTests","Mon Jun 22 15:55:51 UTC 2026","passed","Mon Jun 22 15:55:51 UTC 2026","SubscriptionServiceTests","SubsTracker.UnitTests","SubsTracker.UnitTests.SubscriptionServiceTests","GetAll_WhenFilteredByNonExistentName_ReturnsEmptyList"
"","37","Update_WhenValidModel_ReturnsUpdatedGroupDtoAndPublishesSignal","SubsTracker.UnitTests","Mon Jun 22 15:55:51 UTC 2026","passed","Mon Jun 22 15:55:51 UTC 2026","GroupServiceTests","SubsTracker.UnitTests","SubsTracker.UnitTests.GroupServiceTests","Update_WhenValidModel_ReturnsUpdatedGroupDtoAndPublishesSignal"
"","57","Create_WhenValidModel_ReturnsCreatedSubscriptionAndPublishesSignal","SubsTracker.UnitTests","Mon Jun 22 15:55:50 UTC 2026","passed","Mon Jun 22 15:55:50 UTC 2026","SubscriptionServiceTests","SubsTracker.UnitTests","SubsTracker.UnitTests.SubscriptionServiceTests","Create_WhenValidModel_ReturnsCreatedSubscriptionAndPublishesSignal"
"Verifies that an authenticated user can delete their account and the record is removed from the DB","74","Delete_WhenValidId_RemovesUser","","Mon Jun 22 15:56:20 UTC 2026","passed","Mon Jun 22 15:56:20 UTC 2026","","User API","SubsTracker.IntegrationTests.User.UsersControllerTests","Delete_WhenValidId_RemovesUser"
"","8","CancelSubscription_WhenIncorrectId_ReturnsNotFoundException","SubsTracker.UnitTests","Mon Jun 22 15:55:51 UTC 2026","passed","Mon Jun 22 15:55:51 UTC 2026","SubscriptionServiceTests","SubsTracker.UnitTests","SubsTracker.UnitTests.SubscriptionServiceTests","CancelSubscription_WhenIncorrectId_ReturnsNotFoundException"
"","3","GetById_WhenUserGroupDoesNotExist_ThrowsNotFoundException","SubsTracker.UnitTests","Mon Jun 22 15:55:51 UTC 2026","passed","Mon Jun 22 15:55:51 UTC 2026","GroupServiceTests","SubsTracker.UnitTests","SubsTracker.UnitTests.GroupServiceTests","GetById_WhenUserGroupDoesNotExist_ThrowsNotFoundException"
"Verifies that an existing subscription can be modified and changes are reflected in the database","116","Update_WhenValidData_ReturnsUpdatedSubscription","","Mon Jun 22 15:56:21 UTC 2026","passed","Mon Jun 22 15:56:21 UTC 2026","","Subscription API","SubsTracker.IntegrationTests.Subscription.SubscriptionsControllerTests","Update_WhenValidData_ReturnsUpdatedSubscription"
"Verifies that the API prevents group creation if the authenticated Auth0 ID does not exist in our system","44","Create_WhenUserDoesNotExist_ReturnsUnauthorized","","Mon Jun 22 15:56:25 UTC 2026","passed","Mon Jun 22 15:56:25 UTC 2026","","Group API","SubsTracker.IntegrationTests.Group.GroupsControllerTests","Create_WhenUserDoesNotExist_ReturnsUnauthorized"
"Verifies that a user can link an existing subscription to a group","73","ShareSubscription_WhenValid_AddsLinkInDatabase","","Mon Jun 22 15:56:25 UTC 2026","passed","Mon Jun 22 15:56:25 UTC 2026","","Group API","SubsTracker.IntegrationTests.Group.GroupsControllerTests","ShareSubscription_WhenValid_AddsLinkInDatabase"
