"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","9","ShareSubscription_WhenGroupDoesNotExist_ThrowsUnknownIdentifierException","SubsTracker.UnitTests","Thu Mar 26 10:22:32 UTC 2026","passed","Thu Mar 26 10:22:32 UTC 2026","GroupServiceTests","SubsTracker.UnitTests","SubsTracker.UnitTests.GroupServiceTests","ShareSubscription_WhenGroupDoesNotExist_ThrowsUnknownIdentifierException"
"","3","GetById_WhenEmptyGuid_ThrowsNotFoundException","SubsTracker.UnitTests","Thu Mar 26 10:22:32 UTC 2026","passed","Thu Mar 26 10:22:32 UTC 2026","UserServiceTests","SubsTracker.UnitTests","SubsTracker.UnitTests.UserServiceTests","GetById_WhenEmptyGuid_ThrowsNotFoundException"
"Verifies that the list of users can be filtered by a specific email address and returns exactly one match","35","GetAll_WhenFilteredByEmail_ReturnsMatchingUser","","Thu Mar 26 10:22:58 UTC 2026","passed","Thu Mar 26 10:22:58 UTC 2026","","User API","SubsTracker.IntegrationTests.User.UsersControllerTests","GetAll_WhenFilteredByEmail_ReturnsMatchingUser"
"","75","CacheDataWithLock_WhenCacheEmpty_AcquiresLockAndPopulates","SubsTracker.UnitTests","Thu Mar 26 10:22:32 UTC 2026","passed","Thu Mar 26 10:22:32 UTC 2026","CacheServiceTests","SubsTracker.UnitTests","SubsTracker.UnitTests.CacheServiceTests","CacheDataWithLock_WhenCacheEmpty_AcquiresLockAndPopulates"
"Verifies that the API returns an empty list when no subscriptions match the provided name filter","854","GetAll_WhenFilteredByNonExistentName_ReturnsEmptyList","","Thu Mar 26 10:22:57 UTC 2026","passed","Thu Mar 26 10:22:58 UTC 2026","","Subscription API","SubsTracker.IntegrationTests.Subscription.SubscriptionsControllerTests","GetAll_WhenFilteredByNonExistentName_ReturnsEmptyList"
"","46","ChangeRole_WhenAdmin_ThrowsPolicyViolationException","SubsTracker.UnitTests","Thu Mar 26 10:22:32 UTC 2026","passed","Thu Mar 26 10:22:33 UTC 2026","MemberServiceTests","SubsTracker.UnitTests","SubsTracker.UnitTests.MemberServiceTests","ChangeRole_WhenAdmin_ThrowsPolicyViolationException"
"","5","LeaveGroup_WhenSuccessful_DeletesAndPublishesSignal","SubsTracker.UnitTests","Thu Mar 26 10:22:32 UTC 2026","passed","Thu Mar 26 10:22:32 UTC 2026","MemberServiceTests","SubsTracker.UnitTests","SubsTracker.UnitTests.MemberServiceTests","LeaveGroup_WhenSuccessful_DeletesAndPublishesSignal"
"","37","Update_WhenValidModel_ReturnsUpdatedEntity","SubsTracker.UnitTests","Thu Mar 26 10:22:32 UTC 2026","passed","Thu Mar 26 10:22:32 UTC 2026","SubscriptionServiceTests","SubsTracker.UnitTests","SubsTracker.UnitTests.SubscriptionServiceTests","Update_WhenValidModel_ReturnsUpdatedEntity"
"","1","CacheDataWithLock_WhenDataExistsInCache_ReturnsDataImmediately","SubsTracker.UnitTests","Thu Mar 26 10:22:37 UTC 2026","passed","Thu Mar 26 10:22:37 UTC 2026","CacheServiceTests","SubsTracker.UnitTests","SubsTracker.UnitTests.CacheServiceTests","CacheDataWithLock_WhenDataExistsInCache_ReturnsDataImmediately"
"Verifies that the subscription list correctly filters results by name and excludes unrelated subscriptions","42","GetAll_WhenFilteredByName_ReturnsOnlyMatchingSubscription","","Thu Mar 26 10:22:58 UTC 2026","passed","Thu Mar 26 10:22:58 UTC 2026","","Subscription API","SubsTracker.IntegrationTests.Subscription.SubscriptionsControllerTests","GetAll_WhenFilteredByName_ReturnsOnlyMatchingSubscription"
