"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2","GetAll_WhenNoMembers_ReturnsEmptyList","SubsTracker.UnitTests","Thu Mar 26 10:36:16 UTC 2026","passed","Thu Mar 26 10:36:16 UTC 2026","MemberServiceTests","SubsTracker.UnitTests","SubsTracker.UnitTests.MemberServiceTests","GetAll_WhenNoMembers_ReturnsEmptyList"
"Verifies that a subscription is marked inactive and a cancellation event is published to the bus","78","CancelSubscription_ShouldUpdateDatabaseAndPublishEvent","","Thu Mar 26 10:36:46 UTC 2026","passed","Thu Mar 26 10:36:46 UTC 2026","","Subscription API","SubsTracker.IntegrationTests.Subscription.SubscriptionsControllerTests","CancelSubscription_ShouldUpdateDatabaseAndPublishEvent"
"","185","GetFullInfoById_WhenMemberExists_ReturnsMappedMemberDto","SubsTracker.UnitTests","Thu Mar 26 10:36:15 UTC 2026","passed","Thu Mar 26 10:36:15 UTC 2026","MemberServiceTests","SubsTracker.UnitTests","SubsTracker.UnitTests.MemberServiceTests","GetFullInfoById_WhenMemberExists_ReturnsMappedMemberDto"
"","15","Delete_WhenEmptyGuid_ThrowsNotFoundException","SubsTracker.UnitTests","Thu Mar 26 10:36:15 UTC 2026","passed","Thu Mar 26 10:36:15 UTC 2026","GroupServiceTests","SubsTracker.UnitTests","SubsTracker.UnitTests.GroupServiceTests","Delete_WhenEmptyGuid_ThrowsNotFoundException"
"","6","Create_WhenEmptyDto_ThrowsValidationException","SubsTracker.UnitTests","Thu Mar 26 10:36:15 UTC 2026","passed","Thu Mar 26 10:36:15 UTC 2026","GroupServiceTests","SubsTracker.UnitTests","SubsTracker.UnitTests.GroupServiceTests","Create_WhenEmptyDto_ThrowsValidationException"
"Verifies that valid data creates a user in the system and persists it to the database","72","Create_WhenValidData_ReturnsCreatedUser","","Thu Mar 26 10:36:45 UTC 2026","passed","Thu Mar 26 10:36:45 UTC 2026","","User API","SubsTracker.IntegrationTests.User.UsersControllerTests","Create_WhenValidData_ReturnsCreatedUser"
"","4","Create_WhenUserNotExists_ReturnsNull","SubsTracker.UnitTests","Thu Mar 26 10:36:16 UTC 2026","passed","Thu Mar 26 10:36:16 UTC 2026","SubscriptionServiceTests","SubsTracker.UnitTests","SubsTracker.UnitTests.SubscriptionServiceTests","Create_WhenUserNotExists_ReturnsNull"
"","161","GetAll_WhenRequestingSecondPage_ReturnsCorrectMetadata","SubsTracker.UnitTests","Thu Mar 26 10:36:15 UTC 2026","passed","Thu Mar 26 10:36:16 UTC 2026","UserServiceTests","SubsTracker.UnitTests","SubsTracker.UnitTests.UserServiceTests","GetAll_WhenRequestingSecondPage_ReturnsCorrectMetadata"
"","35","Delete_WhenUserExists_DeletesUserAndPublishesSignal","SubsTracker.UnitTests","Thu Mar 26 10:36:15 UTC 2026","passed","Thu Mar 26 10:36:15 UTC 2026","UserServiceTests","SubsTracker.UnitTests","SubsTracker.UnitTests.UserServiceTests","Delete_WhenUserExists_DeletesUserAndPublishesSignal"
"","130","GetAll_WhenFilterIsEmpty_ReturnsAllMembers","SubsTracker.UnitTests","Thu Mar 26 10:36:15 UTC 2026","passed","Thu Mar 26 10:36:16 UTC 2026","MemberServiceTests","SubsTracker.UnitTests","SubsTracker.UnitTests.MemberServiceTests","GetAll_WhenFilterIsEmpty_ReturnsAllMembers"
"","3","CancelSubscription_WhenIncorrectId_ReturnsNotFoundException","SubsTracker.UnitTests","Thu Mar 26 10:36:16 UTC 2026","passed","Thu Mar 26 10:36:16 UTC 2026","SubscriptionServiceTests","SubsTracker.UnitTests","SubsTracker.UnitTests.SubscriptionServiceTests","CancelSubscription_WhenIncorrectId_ReturnsNotFoundException"
"Verifies that a new group can be created and the creator is automatically assigned as Admin","49","Create_WhenValidData_CreatesGroupAndAddsOwnerAsAdmin","","Thu Mar 26 10:36:50 UTC 2026","passed","Thu Mar 26 10:36:50 UTC 2026","","Group API","SubsTracker.IntegrationTests.Group.GroupsControllerTests","Create_WhenValidData_CreatesGroupAndAddsOwnerAsAdmin"
"","334","FullUserUpdate_ShouldOpenCircuit_AfterRepeatedFailures","","Thu Mar 26 10:36:42 UTC 2026","passed","Thu Mar 26 10:36:42 UTC 2026","","Integration Tests","SubsTracker.IntegrationTests.Orchestrator.OrchestratorTests","FullUserUpdate_ShouldOpenCircuit_AfterRepeatedFailures"
"","1","GetAll_WhenNoUsers_ReturnsEmptyList","SubsTracker.UnitTests","Thu Mar 26 10:36:16 UTC 2026","passed","Thu Mar 26 10:36:16 UTC 2026","UserServiceTests","SubsTracker.UnitTests","SubsTracker.UnitTests.UserServiceTests","GetAll_WhenNoUsers_ReturnsEmptyList"
"","2","GetAll_WhenNoUserGroups_ReturnsEmptyList","SubsTracker.UnitTests","Thu Mar 26 10:36:15 UTC 2026","passed","Thu Mar 26 10:36:15 UTC 2026","GroupServiceTests","SubsTracker.UnitTests","SubsTracker.UnitTests.GroupServiceTests","GetAll_WhenNoUserGroups_ReturnsEmptyList"
"Verifies that the API returns cached data even if the underlying database record changes","41","GetById_ShouldUseCache_OnConsecutiveCalls","","Thu Mar 26 10:36:50 UTC 2026","passed","Thu Mar 26 10:36:50 UTC 2026","","Group API","SubsTracker.IntegrationTests.Group.GroupsControllerTests","GetById_ShouldUseCache_OnConsecutiveCalls"
"","34","GetByIdentityId_WhenUserExists_ReturnsMappedUserDto","SubsTracker.UnitTests","Thu Mar 26 10:36:16 UTC 2026","passed","Thu Mar 26 10:36:16 UTC 2026","UserServiceTests","SubsTracker.UnitTests","SubsTracker.UnitTests.UserServiceTests","GetByIdentityId_WhenUserExists_ReturnsMappedUserDto"
"","4","GetCurrentProfile_ShouldThrowUnauthorized_WhenClaimIsMissing","","Thu Mar 26 10:36:43 UTC 2026","passed","Thu Mar 26 10:36:43 UTC 2026","","Integration Tests","SubsTracker.IntegrationTests.Orchestrator.OrchestratorTests","GetCurrentProfile_ShouldThrowUnauthorized_WhenClaimIsMissing"
"","163","CacheDataWithLock_WhenCacheEmpty_AcquiresLockAndPopulates","SubsTracker.UnitTests","Thu Mar 26 10:36:15 UTC 2026","passed","Thu Mar 26 10:36:15 UTC 2026","CacheServiceTests","SubsTracker.UnitTests","SubsTracker.UnitTests.CacheServiceTests","CacheDataWithLock_WhenCacheEmpty_AcquiresLockAndPopulates"
"","3","GetById_WhenSubscriptionDoesNotExist_ThrowsNotFoundException","SubsTracker.UnitTests","Thu Mar 26 10:36:16 UTC 2026","passed","Thu Mar 26 10:36:16 UTC 2026","SubscriptionServiceTests","SubsTracker.UnitTests","SubsTracker.UnitTests.SubscriptionServiceTests","GetById_WhenSubscriptionDoesNotExist_ThrowsNotFoundException"
"Verifies that the API returns an empty list when no subscriptions match the provided name filter","901","GetAll_WhenFilteredByNonExistentName_ReturnsEmptyList","","Thu Mar 26 10:36:43 UTC 2026","passed","Thu Mar 26 10:36:44 UTC 2026","","Subscription API","SubsTracker.IntegrationTests.Subscription.SubscriptionsControllerTests","GetAll_WhenFilteredByNonExistentName_ReturnsEmptyList"
"","17","GetById_WhenSubscriptionExists_ReturnsSubscriptionDto","SubsTracker.UnitTests","Thu Mar 26 10:36:16 UTC 2026","passed","Thu Mar 26 10:36:16 UTC 2026","SubscriptionServiceTests","SubsTracker.UnitTests","SubsTracker.UnitTests.SubscriptionServiceTests","GetById_WhenSubscriptionExists_ReturnsSubscriptionDto"
"","5","GetById_WhenUserGroupDoesNotExist_ThrowsNotFoundException","SubsTracker.UnitTests","Thu Mar 26 10:36:15 UTC 2026","passed","Thu Mar 26 10:36:15 UTC 2026","GroupServiceTests","SubsTracker.UnitTests","SubsTracker.UnitTests.GroupServiceTests","GetById_WhenUserGroupDoesNotExist_ThrowsNotFoundException"
"","29","GetAll_WhenFilteredByNameWithDifferentCase_ReturnsMatchingGroup","SubsTracker.UnitTests","Thu Mar 26 10:36:15 UTC 2026","passed","Thu Mar 26 10:36:15 UTC 2026","GroupServiceTests","SubsTracker.UnitTests","SubsTracker.UnitTests.GroupServiceTests","GetAll_WhenFilteredByNameWithDifferentCase_ReturnsMatchingGroup"
"","43","Create_WhenValidModel_ReturnsCreatedSubscriptionAndPublishesSignal","SubsTracker.UnitTests","Thu Mar 26 10:36:16 UTC 2026","passed","Thu Mar 26 10:36:16 UTC 2026","SubscriptionServiceTests","SubsTracker.UnitTests","SubsTracker.UnitTests.SubscriptionServiceTests","Create_WhenValidModel_ReturnsCreatedSubscriptionAndPublishesSignal"
"Ensures the API returns only subscriptions due within the next 7 days","182","GetUpcomingBills_WhenSubscriptionsAreDue_ShouldReturnOnlyItemsWithinSevenDays","","Thu Mar 26 10:36:44 UTC 2026","passed","Thu Mar 26 10:36:45 UTC 2026","","Subscription API","SubsTracker.IntegrationTests.Subscription.SubscriptionsControllerTests","GetUpcomingBills_WhenSubscriptionsAreDue_ShouldReturnOnlyItemsWithinSevenDays"
"","2","GetByIdentityId_WhenUserDoesNotExist_ReturnsNull","SubsTracker.UnitTests","Thu Mar 26 10:36:16 UTC 2026","passed","Thu Mar 26 10:36:16 UTC 2026","UserServiceTests","SubsTracker.UnitTests","SubsTracker.UnitTests.UserServiceTests","GetByIdentityId_WhenUserDoesNotExist_ReturnsNull"
"","29","Create_WhenUserExistsButHasNoIdentityId_ShouldUpdateAndPublishUpdatedSignal","SubsTracker.UnitTests","Thu Mar 26 10:36:16 UTC 2026","passed","Thu Mar 26 10:36:16 UTC 2026","UserServiceTests","SubsTracker.UnitTests","SubsTracker.UnitTests.UserServiceTests","Create_WhenUserExistsButHasNoIdentityId_ShouldUpdateAndPublishUpdatedSignal"
"Verifies that an existing group can be updated and changes are persisted in the database","48","Update_WhenValidData_ReturnsUpdatedGroup","","Thu Mar 26 10:36:50 UTC 2026","passed","Thu Mar 26 10:36:50 UTC 2026","","Group API","SubsTracker.IntegrationTests.Group.GroupsControllerTests","Update_WhenValidData_ReturnsUpdatedGroup"
"","129","GetByIdentityId_WhenCancellationTokenIsCancelled_ThrowsOperationCanceledException","SubsTracker.UnitTests","Thu Mar 26 10:36:15 UTC 2026","passed","Thu Mar 26 10:36:15 UTC 2026","UserServiceTests","SubsTracker.UnitTests","SubsTracker.UnitTests.UserServiceTests","GetByIdentityId_WhenCancellationTokenIsCancelled_ThrowsOperationCanceledException"
"","37","Create_WhenCalled_CallsRepositoryExactlyOnce","SubsTracker.UnitTests","Thu Mar 26 10:36:15 UTC 2026","passed","Thu Mar 26 10:36:15 UTC 2026","GroupServiceTests","SubsTracker.UnitTests","SubsTracker.UnitTests.GroupServiceTests","Create_WhenCalled_CallsRepositoryExactlyOnce"
