"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","27","GetByIdentityId_WhenUserExists_ReturnsMappedUserDto","SubsTracker.UnitTests","Thu Mar 26 09:32:58 UTC 2026","passed","Thu Mar 26 09:32:58 UTC 2026","UserServiceTests","SubsTracker.UnitTests","SubsTracker.UnitTests.UserServiceTests","GetByIdentityId_WhenUserExists_ReturnsMappedUserDto"
"","30","Delete_WhenUserExists_DeletesUserAndPublishesSignal","SubsTracker.UnitTests","Thu Mar 26 09:32:58 UTC 2026","passed","Thu Mar 26 09:32:58 UTC 2026","UserServiceTests","SubsTracker.UnitTests","SubsTracker.UnitTests.UserServiceTests","Delete_WhenUserExists_DeletesUserAndPublishesSignal"
"","47","GetById_WhenCalled_CallsRepositoryExactlyOnce","SubsTracker.UnitTests","Thu Mar 26 09:32:57 UTC 2026","passed","Thu Mar 26 09:32:57 UTC 2026","GroupServiceTests","SubsTracker.UnitTests","SubsTracker.UnitTests.GroupServiceTests","GetById_WhenCalled_CallsRepositoryExactlyOnce"
"Ensures the API blocks requests to /me if the authentication token is missing or bypassed","15","GetByIdentityId_WhenNoTokenProvided_ReturnsUnauthorized","","Thu Mar 26 09:33:23 UTC 2026","passed","Thu Mar 26 09:33:23 UTC 2026","","User API","SubsTracker.IntegrationTests.User.UsersControllerTests","GetByIdentityId_WhenNoTokenProvided_ReturnsUnauthorized"
"","115","FullUserUpdate_ShouldThrowTimeout_WhenServiceHangs","","Thu Mar 26 09:33:21 UTC 2026","passed","Thu Mar 26 09:33:21 UTC 2026","","Integration Tests","SubsTracker.IntegrationTests.Orchestrator.OrchestratorTests","FullUserUpdate_ShouldThrowTimeout_WhenServiceHangs"
"","1","GetAll_WhenNoUsers_ReturnsEmptyList","SubsTracker.UnitTests","Thu Mar 26 09:32:58 UTC 2026","passed","Thu Mar 26 09:32:58 UTC 2026","UserServiceTests","SubsTracker.UnitTests","SubsTracker.UnitTests.UserServiceTests","GetAll_WhenNoUsers_ReturnsEmptyList"
"","4","LeaveGroup_WhenNotTheMemberOfTheGroup_ThrowsUnknownIdentifierException","SubsTracker.UnitTests","Thu Mar 26 09:32:58 UTC 2026","passed","Thu Mar 26 09:32:58 UTC 2026","MemberServiceTests","SubsTracker.UnitTests","SubsTracker.UnitTests.MemberServiceTests","LeaveGroup_WhenNotTheMemberOfTheGroup_ThrowsUnknownIdentifierException"
"","6","Delete_WhenUserDoesNotExist_ThrowsUnknownIdentifierExceptionAndDoesNotPublish","SubsTracker.UnitTests","Thu Mar 26 09:32:58 UTC 2026","passed","Thu Mar 26 09:32:58 UTC 2026","UserServiceTests","SubsTracker.UnitTests","SubsTracker.UnitTests.UserServiceTests","Delete_WhenUserDoesNotExist_ThrowsUnknownIdentifierExceptionAndDoesNotPublish"
"Verifies that valid data creates a user in the system and persists it to the database","65","Create_WhenValidData_ReturnsCreatedUser","","Thu Mar 26 09:33:23 UTC 2026","passed","Thu Mar 26 09:33:23 UTC 2026","","User API","SubsTracker.IntegrationTests.User.UsersControllerTests","Create_WhenValidData_ReturnsCreatedUser"
"","35","Create_WhenUserExistsButHasNoIdentityId_ShouldUpdateAndPublishUpdatedSignal","SubsTracker.UnitTests","Thu Mar 26 09:32:58 UTC 2026","passed","Thu Mar 26 09:32:58 UTC 2026","UserServiceTests","SubsTracker.UnitTests","SubsTracker.UnitTests.UserServiceTests","Create_WhenUserExistsButHasNoIdentityId_ShouldUpdateAndPublishUpdatedSignal"
"","277","UpdateUserProfile_ShouldExecuteServiceCode","SubsTracker.IntegrationTests","Thu Mar 26 09:33:11 UTC 2026","passed","Thu Mar 26 09:33:11 UTC 2026","Auth0ServiceTests","SubsTracker.IntegrationTests.Auth0","SubsTracker.IntegrationTests.Auth0.Auth0ServiceTests","UpdateUserProfile_ShouldExecuteServiceCode"
"","57","GetAll_WhenFilteredByEmail_ReturnsCorrectUser","SubsTracker.UnitTests","Thu Mar 26 09:32:57 UTC 2026","passed","Thu Mar 26 09:32:57 UTC 2026","UserServiceTests","SubsTracker.UnitTests","SubsTracker.UnitTests.UserServiceTests","GetAll_WhenFilteredByEmail_ReturnsCorrectUser"
"","82","GetAll_WhenFilteredByRole_ReturnsMatchingMembers","SubsTracker.UnitTests","Thu Mar 26 09:32:57 UTC 2026","passed","Thu Mar 26 09:32:58 UTC 2026","MemberServiceTests","SubsTracker.UnitTests","SubsTracker.UnitTests.MemberServiceTests","GetAll_WhenFilteredByRole_ReturnsMatchingMembers"
"Verifies that a user can link an existing subscription to a group","73","ShareSubscription_WhenValid_AddsLinkInDatabase","","Thu Mar 26 09:33:29 UTC 2026","passed","Thu Mar 26 09:33:29 UTC 2026","","Group API","SubsTracker.IntegrationTests.Group.GroupsControllerTests","ShareSubscription_WhenValid_AddsLinkInDatabase"
"Verifies that a subscription's due date is extended correctly and a renewal event is published","169","RenewSubscription_ShouldUpdateDueDateAndPublishEvent","","Thu Mar 26 09:33:23 UTC 2026","passed","Thu Mar 26 09:33:24 UTC 2026","","Subscription API","SubsTracker.IntegrationTests.Subscription.SubscriptionsControllerTests","RenewSubscription_ShouldUpdateDueDateAndPublishEvent"
"","52","Delete_WhenCorrectModel_DeletesUserGroup","SubsTracker.UnitTests","Thu Mar 26 09:32:57 UTC 2026","passed","Thu Mar 26 09:32:57 UTC 2026","GroupServiceTests","SubsTracker.UnitTests","SubsTracker.UnitTests.GroupServiceTests","Delete_WhenCorrectModel_DeletesUserGroup"
"Verifies that a non-existent name filter returns an empty paginated list","67","GetAll_WhenFilteredByNonExistentName_ReturnsEmptyList","","Thu Mar 26 09:33:27 UTC 2026","passed","Thu Mar 26 09:33:27 UTC 2026","","Group API","SubsTracker.IntegrationTests.Group.GroupsControllerTests","GetAll_WhenFilteredByNonExistentName_ReturnsEmptyList"
"","42","GetFullInfoById_WhenMemberExists_FetchesFromRepoAndMaps","SubsTracker.UnitTests","Thu Mar 26 09:32:58 UTC 2026","passed","Thu Mar 26 09:32:58 UTC 2026","MemberServiceTests","SubsTracker.UnitTests","SubsTracker.UnitTests.MemberServiceTests","GetFullInfoById_WhenMemberExists_FetchesFromRepoAndMaps"
"","47","GetAll_WhenFilteredById_ReturnsSpecificMember","SubsTracker.UnitTests","Thu Mar 26 09:32:58 UTC 2026","passed","Thu Mar 26 09:32:58 UTC 2026","MemberServiceTests","SubsTracker.UnitTests","SubsTracker.UnitTests.MemberServiceTests","GetAll_WhenFilteredById_ReturnsSpecificMember"
"","11","GetAll_WhenFilteredByName_ReturnsCorrectSubscription","SubsTracker.UnitTests","Thu Mar 26 09:32:58 UTC 2026","passed","Thu Mar 26 09:32:58 UTC 2026","SubscriptionServiceTests","SubsTracker.UnitTests","SubsTracker.UnitTests.SubscriptionServiceTests","GetAll_WhenFilteredByName_ReturnsCorrectSubscription"
"","47","JoinGroupHandle_WhenValidRequest_ShouldCreateMemberAndPublishSignal","SubsTracker.UnitTests","Thu Mar 26 09:32:58 UTC 2026","passed","Thu Mar 26 09:32:58 UTC 2026","MemberServiceTests","SubsTracker.UnitTests","SubsTracker.UnitTests.MemberServiceTests","JoinGroupHandle_WhenValidRequest_ShouldCreateMemberAndPublishSignal"
"","6","LeaveGroup_WhenSuccessful_DeletesAndPublishesSignal","SubsTracker.UnitTests","Thu Mar 26 09:32:58 UTC 2026","passed","Thu Mar 26 09:32:58 UTC 2026","MemberServiceTests","SubsTracker.UnitTests","SubsTracker.UnitTests.MemberServiceTests","LeaveGroup_WhenSuccessful_DeletesAndPublishesSignal"
"Verifies that a member can leave a group, their record is removed, and a departure event is fired","167","LeaveGroup_WhenValid_RemovesMemberAndPublishesEvent","","Thu Mar 26 09:33:27 UTC 2026","passed","Thu Mar 26 09:33:27 UTC 2026","","Group API","SubsTracker.IntegrationTests.Group.GroupsControllerTests","LeaveGroup_WhenValid_RemovesMemberAndPublishesEvent"
"","11","GetUpcomingBills_WhenCalled_DelegatesToMediator","SubsTracker.UnitTests","Thu Mar 26 09:32:57 UTC 2026","passed","Thu Mar 26 09:32:57 UTC 2026","SubscriptionServiceTests","SubsTracker.UnitTests","SubsTracker.UnitTests.SubscriptionServiceTests","GetUpcomingBills_WhenCalled_DelegatesToMediator"
"","430","RegisterApplicationLayerDependencies_ShouldRegisterKeyServices","SubsTracker.IntegrationTests","Thu Mar 26 09:33:11 UTC 2026","passed","Thu Mar 26 09:33:11 UTC 2026","ApplicationLayerServiceRegisterTests","SubsTracker.IntegrationTests.Wiring","SubsTracker.IntegrationTests.Wiring.ApplicationLayerServiceRegisterTests","RegisterApplicationLayerDependencies_ShouldRegisterKeyServices"
"","6","Update_WhenUserDoesNotExist_ThrowsUnknownIdentifierException","SubsTracker.UnitTests","Thu Mar 26 09:32:58 UTC 2026","passed","Thu Mar 26 09:32:58 UTC 2026","UserServiceTests","SubsTracker.UnitTests","SubsTracker.UnitTests.UserServiceTests","Update_WhenUserDoesNotExist_ThrowsUnknownIdentifierException"
"","108","GetById_WhenSubscriptionExists_ReturnsSubscriptionDto","SubsTracker.UnitTests","Thu Mar 26 09:32:57 UTC 2026","passed","Thu Mar 26 09:32:57 UTC 2026","SubscriptionServiceTests","SubsTracker.UnitTests","SubsTracker.UnitTests.SubscriptionServiceTests","GetById_WhenSubscriptionExists_ReturnsSubscriptionDto"
"Verifies that a group can be retrieved by its unique identifier","72","GetById_WhenValid_ReturnsCorrectGroup","","Thu Mar 26 09:33:27 UTC 2026","passed","Thu Mar 26 09:33:27 UTC 2026","","Group API","SubsTracker.IntegrationTests.Group.GroupsControllerTests","GetById_WhenValid_ReturnsCorrectGroup"
"","146","GetAll_WhenFilterIsEmpty_ReturnsAllMembers","SubsTracker.UnitTests","Thu Mar 26 09:32:58 UTC 2026","passed","Thu Mar 26 09:32:58 UTC 2026","MemberServiceTests","SubsTracker.UnitTests","SubsTracker.UnitTests.MemberServiceTests","GetAll_WhenFilterIsEmpty_ReturnsAllMembers"
"Verifies that the authenticated user can update their own profile details","140","Update_WhenValidData_ReturnsUpdatedUser","","Thu Mar 26 09:33:23 UTC 2026","passed","Thu Mar 26 09:33:23 UTC 2026","","User API","SubsTracker.IntegrationTests.User.UsersControllerTests","Update_WhenValidData_ReturnsUpdatedUser"
"","3","GetCurrentProfile_ShouldThrowUnauthorized_WhenClaimIsMissing","","Thu Mar 26 09:33:21 UTC 2026","passed","Thu Mar 26 09:33:21 UTC 2026","","Integration Tests","SubsTracker.IntegrationTests.Orchestrator.OrchestratorTests","GetCurrentProfile_ShouldThrowUnauthorized_WhenClaimIsMissing"
"Verifies that the API returns the correct user details when searching by a specific GUID","36","GetById_ShouldReturnCorrectUser","","Thu Mar 26 09:33:24 UTC 2026","passed","Thu Mar 26 09:33:24 UTC 2026","","User API","SubsTracker.IntegrationTests.User.UsersControllerTests","GetById_ShouldReturnCorrectUser"
"Verifies that the API prevents group creation if the authenticated Auth0 ID does not exist in our system","20","Create_WhenUserDoesNotExist_ReturnsUnauthorized","","Thu Mar 26 09:33:28 UTC 2026","passed","Thu Mar 26 09:33:28 UTC 2026","","Group API","SubsTracker.IntegrationTests.Group.GroupsControllerTests","Create_WhenUserDoesNotExist_ReturnsUnauthorized"
"","17","CancelSubscription_WhenIncorrectId_ReturnsNotFoundException","SubsTracker.UnitTests","Thu Mar 26 09:32:58 UTC 2026","passed","Thu Mar 26 09:32:58 UTC 2026","SubscriptionServiceTests","SubsTracker.UnitTests","SubsTracker.UnitTests.SubscriptionServiceTests","CancelSubscription_WhenIncorrectId_ReturnsNotFoundException"
"","4","GetById_WhenIdIsEmpty_ThrowsUnknownIdentifierException","SubsTracker.UnitTests","Thu Mar 26 09:32:58 UTC 2026","passed","Thu Mar 26 09:32:58 UTC 2026","GroupServiceTests","SubsTracker.UnitTests","SubsTracker.UnitTests.GroupServiceTests","GetById_WhenIdIsEmpty_ThrowsUnknownIdentifierException"
"","16","RenewSubscription_WhenValidModel_ReturnsRenewSubscriptionAndPublishesSignal","SubsTracker.UnitTests","Thu Mar 26 09:32:57 UTC 2026","passed","Thu Mar 26 09:32:57 UTC 2026","SubscriptionServiceTests","SubsTracker.UnitTests","SubsTracker.UnitTests.SubscriptionServiceTests","RenewSubscription_WhenValidModel_ReturnsRenewSubscriptionAndPublishesSignal"
"","1","GetById_WhenCacheHit_ReturnsCachedDataAndSkipsRepo","SubsTracker.UnitTests","Thu Mar 26 09:32:58 UTC 2026","passed","Thu Mar 26 09:32:58 UTC 2026","UserServiceTests","SubsTracker.UnitTests","SubsTracker.UnitTests.UserServiceTests","GetById_WhenCacheHit_ReturnsCachedDataAndSkipsRepo"
"","34","GetById_WhenUserExists_ReturnsUser","SubsTracker.UnitTests","Thu Mar 26 09:32:58 UTC 2026","passed","Thu Mar 26 09:32:58 UTC 2026","UserServiceTests","SubsTracker.UnitTests","SubsTracker.UnitTests.UserServiceTests","GetById_WhenUserExists_ReturnsUser"
"","17","GetCurrentProfile_ShouldUseGetByIdentityId_WhenClaimIsNotGuid","","Thu Mar 26 09:33:21 UTC 2026","passed","Thu Mar 26 09:33:21 UTC 2026","","Integration Tests","SubsTracker.IntegrationTests.Orchestrator.OrchestratorTests","GetCurrentProfile_ShouldUseGetByIdentityId_WhenClaimIsNotGuid"
"","8","GetAll_WhenFilteredByEnums_ReturnsMatchingSubscriptions","SubsTracker.UnitTests","Thu Mar 26 09:32:57 UTC 2026","passed","Thu Mar 26 09:32:57 UTC 2026","SubscriptionServiceTests","SubsTracker.UnitTests","SubsTracker.UnitTests.SubscriptionServiceTests","GetAll_WhenFilteredByEnums_ReturnsMatchingSubscriptions"
"","37","Create_WhenUserDoesNotExist_ShouldCreateAndReturnNewUser","SubsTracker.UnitTests","Thu Mar 26 09:32:57 UTC 2026","passed","Thu Mar 26 09:32:57 UTC 2026","UserServiceTests","SubsTracker.UnitTests","SubsTracker.UnitTests.UserServiceTests","Create_WhenUserDoesNotExist_ShouldCreateAndReturnNewUser"
"","110","GetFullInfoById_WhenMemberExists_ReturnsMappedMemberDto","SubsTracker.UnitTests","Thu Mar 26 09:32:57 UTC 2026","passed","Thu Mar 26 09:32:57 UTC 2026","MemberServiceTests","SubsTracker.UnitTests","SubsTracker.UnitTests.MemberServiceTests","GetFullInfoById_WhenMemberExists_ReturnsMappedMemberDto"
"Verifies that a new group can be created and the creator is automatically assigned as Admin","43","Create_WhenValidData_CreatesGroupAndAddsOwnerAsAdmin","","Thu Mar 26 09:33:28 UTC 2026","passed","Thu Mar 26 09:33:28 UTC 2026","","Group API","SubsTracker.IntegrationTests.Group.GroupsControllerTests","Create_WhenValidData_CreatesGroupAndAddsOwnerAsAdmin"
"Verifies that the API returns an empty list and zero total count when no users match the email filter","867","GetAll_WhenFilteredByNonExistentEmail_ReturnsEmptyList","","Thu Mar 26 09:33:21 UTC 2026","passed","Thu Mar 26 09:33:22 UTC 2026","","User API","SubsTracker.IntegrationTests.User.UsersControllerTests","GetAll_WhenFilteredByNonExistentEmail_ReturnsEmptyList"
"Verifies that a subscription is marked inactive and a cancellation event is published to the bus","91","CancelSubscription_ShouldUpdateDatabaseAndPublishEvent","","Thu Mar 26 09:33:24 UTC 2026","passed","Thu Mar 26 09:33:24 UTC 2026","","Subscription API","SubsTracker.IntegrationTests.Subscription.SubscriptionsControllerTests","CancelSubscription_ShouldUpdateDatabaseAndPublishEvent"
"","4","GetAll_WhenNoUserGroups_ReturnsEmptyList","SubsTracker.UnitTests","Thu Mar 26 09:32:57 UTC 2026","passed","Thu Mar 26 09:32:57 UTC 2026","GroupServiceTests","SubsTracker.UnitTests","SubsTracker.UnitTests.GroupServiceTests","GetAll_WhenNoUserGroups_ReturnsEmptyList"
"","47","Create_WhenSubscriptionAlreadyExists_ThrowsPolicyViolationException","SubsTracker.UnitTests","Thu Mar 26 09:32:57 UTC 2026","passed","Thu Mar 26 09:32:58 UTC 2026","SubscriptionServiceTests","SubsTracker.UnitTests","SubsTracker.UnitTests.SubscriptionServiceTests","Create_WhenSubscriptionAlreadyExists_ThrowsPolicyViolationException"
