"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","27","Create_WhenCalled_ReturnsCreatedGroupDto","SubsTracker.UnitTests","Thu Mar 26 09:42:13 UTC 2026","passed","Thu Mar 26 09:42:13 UTC 2026","GroupServiceTests","SubsTracker.UnitTests","SubsTracker.UnitTests.GroupServiceTests","Create_WhenCalled_ReturnsCreatedGroupDto"
"","16","RenewSubscription_WhenValidModel_ReturnsRenewSubscriptionAndPublishesSignal","SubsTracker.UnitTests","Thu Mar 26 09:42:13 UTC 2026","passed","Thu Mar 26 09:42:13 UTC 2026","SubscriptionServiceTests","SubsTracker.UnitTests","SubsTracker.UnitTests.SubscriptionServiceTests","RenewSubscription_WhenValidModel_ReturnsRenewSubscriptionAndPublishesSignal"
"Verifies that an authenticated user can delete their account and the record is removed from the DB","43","Delete_WhenValidId_RemovesUser","","Thu Mar 26 09:42:41 UTC 2026","passed","Thu Mar 26 09:42:41 UTC 2026","","User API","SubsTracker.IntegrationTests.User.UsersControllerTests","Delete_WhenValidId_RemovesUser"
"","8","GetUpcomingBills_WhenCalled_DelegatesToMediator","SubsTracker.UnitTests","Thu Mar 26 09:42:13 UTC 2026","passed","Thu Mar 26 09:42:13 UTC 2026","SubscriptionServiceTests","SubsTracker.UnitTests","SubsTracker.UnitTests.SubscriptionServiceTests","GetUpcomingBills_WhenCalled_DelegatesToMediator"
"","7","GetAll_WhenFilteredByName_ReturnsCorrectSubscription","SubsTracker.UnitTests","Thu Mar 26 09:42:13 UTC 2026","passed","Thu Mar 26 09:42:13 UTC 2026","SubscriptionServiceTests","SubsTracker.UnitTests","SubsTracker.UnitTests.SubscriptionServiceTests","GetAll_WhenFilteredByName_ReturnsCorrectSubscription"
"","32","CancelSubscription_WhenValidModel_ReturnsInactiveSubscription","SubsTracker.UnitTests","Thu Mar 26 09:42:13 UTC 2026","passed","Thu Mar 26 09:42:13 UTC 2026","SubscriptionServiceTests","SubsTracker.UnitTests","SubsTracker.UnitTests.SubscriptionServiceTests","CancelSubscription_WhenValidModel_ReturnsInactiveSubscription"
"","28","Create_WhenSubscriptionAlreadyExists_ThrowsPolicyViolationException","SubsTracker.UnitTests","Thu Mar 26 09:42:13 UTC 2026","passed","Thu Mar 26 09:42:13 UTC 2026","SubscriptionServiceTests","SubsTracker.UnitTests","SubsTracker.UnitTests.SubscriptionServiceTests","Create_WhenSubscriptionAlreadyExists_ThrowsPolicyViolationException"
"","10","Delete_WhenEmptyGuid_ThrowsNotFoundException","SubsTracker.UnitTests","Thu Mar 26 09:42:12 UTC 2026","passed","Thu Mar 26 09:42:12 UTC 2026","GroupServiceTests","SubsTracker.UnitTests","SubsTracker.UnitTests.GroupServiceTests","Delete_WhenEmptyGuid_ThrowsNotFoundException"
"","5","ShareSubscription_WhenGroupDoesNotExist_ThrowsUnknownIdentifierException","SubsTracker.UnitTests","Thu Mar 26 09:42:13 UTC 2026","passed","Thu Mar 26 09:42:13 UTC 2026","GroupServiceTests","SubsTracker.UnitTests","SubsTracker.UnitTests.GroupServiceTests","ShareSubscription_WhenGroupDoesNotExist_ThrowsUnknownIdentifierException"
"Verifies that a subscription's due date is extended correctly and a renewal event is published","187","RenewSubscription_ShouldUpdateDueDateAndPublishEvent","","Thu Mar 26 09:42:41 UTC 2026","passed","Thu Mar 26 09:42:41 UTC 2026","","Subscription API","SubsTracker.IntegrationTests.Subscription.SubscriptionsControllerTests","RenewSubscription_ShouldUpdateDueDateAndPublishEvent"
"","1","GetByIdentityId_WhenUserDoesNotExist_ReturnsNull","SubsTracker.UnitTests","Thu Mar 26 09:42:13 UTC 2026","passed","Thu Mar 26 09:42:13 UTC 2026","UserServiceTests","SubsTracker.UnitTests","SubsTracker.UnitTests.UserServiceTests","GetByIdentityId_WhenUserDoesNotExist_ReturnsNull"
"","7","GetById_WhenEmptyGuid_ThrowsNotFoundException","SubsTracker.UnitTests","Thu Mar 26 09:42:12 UTC 2026","passed","Thu Mar 26 09:42:12 UTC 2026","UserServiceTests","SubsTracker.UnitTests","SubsTracker.UnitTests.UserServiceTests","GetById_WhenEmptyGuid_ThrowsNotFoundException"
"","4","GetCurrentProfile_ShouldRetry_WhenDatabaseTransientlyFails","","Thu Mar 26 09:42:38 UTC 2026","passed","Thu Mar 26 09:42:38 UTC 2026","","Integration Tests","SubsTracker.IntegrationTests.Orchestrator.OrchestratorTests","GetCurrentProfile_ShouldRetry_WhenDatabaseTransientlyFails"
"","47","Update_WhenValidModel_ReturnsUpdatedGroupDtoAndPublishesSignal","SubsTracker.UnitTests","Thu Mar 26 09:42:12 UTC 2026","passed","Thu Mar 26 09:42:13 UTC 2026","GroupServiceTests","SubsTracker.UnitTests","SubsTracker.UnitTests.GroupServiceTests","Update_WhenValidModel_ReturnsUpdatedGroupDtoAndPublishesSignal"
"","83","GetByIdentityId_WhenCancellationTokenIsCancelled_ThrowsOperationCanceledException","SubsTracker.UnitTests","Thu Mar 26 09:42:12 UTC 2026","passed","Thu Mar 26 09:42:12 UTC 2026","UserServiceTests","SubsTracker.UnitTests","SubsTracker.UnitTests.UserServiceTests","GetByIdentityId_WhenCancellationTokenIsCancelled_ThrowsOperationCanceledException"
"","28","UnshareSubscription_WhenDataIsValid_RemovesSubscriptionAndPublishesSignal","SubsTracker.UnitTests","Thu Mar 26 09:42:12 UTC 2026","passed","Thu Mar 26 09:42:12 UTC 2026","GroupServiceTests","SubsTracker.UnitTests","SubsTracker.UnitTests.GroupServiceTests","UnshareSubscription_WhenDataIsValid_RemovesSubscriptionAndPublishesSignal"
"Verifies that valid data creates a user in the system and persists it to the database","59","Create_WhenValidData_ReturnsCreatedUser","","Thu Mar 26 09:42:40 UTC 2026","passed","Thu Mar 26 09:42:40 UTC 2026","","User API","SubsTracker.IntegrationTests.User.UsersControllerTests","Create_WhenValidData_ReturnsCreatedUser"
"","32","Create_WhenUserExistsWithIdentityId_ShouldJustReturnWithoutSignals","SubsTracker.UnitTests","Thu Mar 26 09:42:12 UTC 2026","passed","Thu Mar 26 09:42:12 UTC 2026","UserServiceTests","SubsTracker.UnitTests","SubsTracker.UnitTests.UserServiceTests","Create_WhenUserExistsWithIdentityId_ShouldJustReturnWithoutSignals"
"Verifies that the list of users can be filtered by a specific email address and returns exactly one match","38","GetAll_WhenFilteredByEmail_ReturnsMatchingUser","","Thu Mar 26 09:42:40 UTC 2026","passed","Thu Mar 26 09:42:40 UTC 2026","","User API","SubsTracker.IntegrationTests.User.UsersControllerTests","GetAll_WhenFilteredByEmail_ReturnsMatchingUser"
"","71","GetAll_WhenFilteredByRole_ReturnsMatchingMembers","SubsTracker.UnitTests","Thu Mar 26 09:42:12 UTC 2026","passed","Thu Mar 26 09:42:12 UTC 2026","MemberServiceTests","SubsTracker.UnitTests","SubsTracker.UnitTests.MemberServiceTests","GetAll_WhenFilteredByRole_ReturnsMatchingMembers"
"","2","CacheDataWithLock_WhenDataExistsInCache_ReturnsDataImmediately","SubsTracker.UnitTests","Thu Mar 26 09:42:17 UTC 2026","passed","Thu Mar 26 09:42:17 UTC 2026","CacheServiceTests","SubsTracker.UnitTests","SubsTracker.UnitTests.CacheServiceTests","CacheDataWithLock_WhenDataExistsInCache_ReturnsDataImmediately"
"","3","Update_WhenIncorrectId_ReturnsNotFoundException","SubsTracker.UnitTests","Thu Mar 26 09:42:13 UTC 2026","passed","Thu Mar 26 09:42:13 UTC 2026","SubscriptionServiceTests","SubsTracker.UnitTests","SubsTracker.UnitTests.SubscriptionServiceTests","Update_WhenIncorrectId_ReturnsNotFoundException"
"","4","GetById_WhenUserGroupDoesNotExist_ThrowsNotFoundException","SubsTracker.UnitTests","Thu Mar 26 09:42:12 UTC 2026","passed","Thu Mar 26 09:42:12 UTC 2026","GroupServiceTests","SubsTracker.UnitTests","SubsTracker.UnitTests.GroupServiceTests","GetById_WhenUserGroupDoesNotExist_ThrowsNotFoundException"
"","51","GetAll_WhenFilteredById_ReturnsSpecificMember","SubsTracker.UnitTests","Thu Mar 26 09:42:13 UTC 2026","passed","Thu Mar 26 09:42:13 UTC 2026","MemberServiceTests","SubsTracker.UnitTests","SubsTracker.UnitTests.MemberServiceTests","GetAll_WhenFilteredById_ReturnsSpecificMember"
"","3","GetAll_WhenNoMembers_ReturnsEmptyList","SubsTracker.UnitTests","Thu Mar 26 09:42:13 UTC 2026","passed","Thu Mar 26 09:42:13 UTC 2026","MemberServiceTests","SubsTracker.UnitTests","SubsTracker.UnitTests.MemberServiceTests","GetAll_WhenNoMembers_ReturnsEmptyList"
"Verifies that a valid DTO creates a new subscription, persists it to the DB, and returns the view model","129","Create_WhenValidData_ReturnsCreatedSubscription","","Thu Mar 26 09:42:40 UTC 2026","passed","Thu Mar 26 09:42:41 UTC 2026","","Subscription API","SubsTracker.IntegrationTests.Subscription.SubscriptionsControllerTests","Create_WhenValidData_ReturnsCreatedSubscription"
"","10","GetAll_WhenFilteredByUserId_ReturnsUserSubscriptions","SubsTracker.UnitTests","Thu Mar 26 09:42:13 UTC 2026","passed","Thu Mar 26 09:42:13 UTC 2026","SubscriptionServiceTests","SubsTracker.UnitTests","SubsTracker.UnitTests.SubscriptionServiceTests","GetAll_WhenFilteredByUserId_ReturnsUserSubscriptions"
"","22","GetAll_WhenFilteredByName_ReturnsCorrectUserGroup","SubsTracker.UnitTests","Thu Mar 26 09:42:13 UTC 2026","passed","Thu Mar 26 09:42:13 UTC 2026","GroupServiceTests","SubsTracker.UnitTests","SubsTracker.UnitTests.GroupServiceTests","GetAll_WhenFilteredByName_ReturnsCorrectUserGroup"
"Verifies that a new group can be created and the creator is automatically assigned as Admin","41","Create_WhenValidData_CreatesGroupAndAddsOwnerAsAdmin","","Thu Mar 26 09:42:45 UTC 2026","passed","Thu Mar 26 09:42:45 UTC 2026","","Group API","SubsTracker.IntegrationTests.Group.GroupsControllerTests","Create_WhenValidData_CreatesGroupAndAddsOwnerAsAdmin"
"","32","GetById_WhenSubscriptionExists_ReturnsSubscriptionDto","SubsTracker.UnitTests","Thu Mar 26 09:42:13 UTC 2026","passed","Thu Mar 26 09:42:13 UTC 2026","SubscriptionServiceTests","SubsTracker.UnitTests","SubsTracker.UnitTests.SubscriptionServiceTests","GetById_WhenSubscriptionExists_ReturnsSubscriptionDto"
"","57","Delete_WhenCorrectModel_DeletesUserGroup","SubsTracker.UnitTests","Thu Mar 26 09:42:12 UTC 2026","passed","Thu Mar 26 09:42:12 UTC 2026","GroupServiceTests","SubsTracker.UnitTests","SubsTracker.UnitTests.GroupServiceTests","Delete_WhenCorrectModel_DeletesUserGroup"
