"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","80","GetAll_WhenFilteredByPartialName_ReturnsMatchingGroups","SubsTracker.UnitTests","Mon Mar 09 13:38:46 UTC 2026","passed","Mon Mar 09 13:38:46 UTC 2026","GroupServiceTests","SubsTracker.UnitTests","SubsTracker.UnitTests.GroupServiceTests","GetAll_WhenFilteredByPartialName_ReturnsMatchingGroups"
"","6","Delete_WhenUserDoesNotExist_ThrowsUnknownIdentifierExceptionAndDoesNotPublish","SubsTracker.UnitTests","Mon Mar 09 13:38:46 UTC 2026","passed","Mon Mar 09 13:38:46 UTC 2026","UserServiceTests","SubsTracker.UnitTests","SubsTracker.UnitTests.UserServiceTests","Delete_WhenUserDoesNotExist_ThrowsUnknownIdentifierExceptionAndDoesNotPublish"
"","80","GetAll_WhenFilterIsEmpty_ReturnsAllMembers","SubsTracker.UnitTests","Mon Mar 09 13:38:47 UTC 2026","passed","Mon Mar 09 13:38:47 UTC 2026","MemberServiceTests","SubsTracker.UnitTests","SubsTracker.UnitTests.MemberServiceTests","GetAll_WhenFilterIsEmpty_ReturnsAllMembers"
"","54","GetFullInfoById_WhenMemberExists_ReturnsMappedMemberDto","SubsTracker.UnitTests","Mon Mar 09 13:38:46 UTC 2026","passed","Mon Mar 09 13:38:46 UTC 2026","MemberServiceTests","SubsTracker.UnitTests","SubsTracker.UnitTests.MemberServiceTests","GetFullInfoById_WhenMemberExists_ReturnsMappedMemberDto"
"","5008","CacheDataWithLock_WhenLockAcquiredByAnotherThread_WaitAndRetry","SubsTracker.UnitTests","Mon Mar 09 13:38:46 UTC 2026","passed","Mon Mar 09 13:38:51 UTC 2026","CacheServiceTests","SubsTracker.UnitTests","SubsTracker.UnitTests.CacheServiceTests","CacheDataWithLock_WhenLockAcquiredByAnotherThread_WaitAndRetry"
"","95","GetAll_WhenFilteredByRole_ReturnsMatchingMembers","SubsTracker.UnitTests","Mon Mar 09 13:38:46 UTC 2026","passed","Mon Mar 09 13:38:47 UTC 2026","MemberServiceTests","SubsTracker.UnitTests","SubsTracker.UnitTests.MemberServiceTests","GetAll_WhenFilteredByRole_ReturnsMatchingMembers"
"Verifies that a valid DTO creates a new subscription, persists it to the DB, and returns the view model","155","Create_WhenValidData_ReturnsCreatedSubscription","","Mon Mar 09 13:39:14 UTC 2026","passed","Mon Mar 09 13:39:15 UTC 2026","","Subscription API","SubsTracker.IntegrationTests.Subscription.SubscriptionsControllerTests","Create_WhenValidData_ReturnsCreatedSubscription"
"","33","GetAll_WhenFilteredByEnums_ReturnsMatchingSubscriptions","SubsTracker.UnitTests","Mon Mar 09 13:38:46 UTC 2026","passed","Mon Mar 09 13:38:46 UTC 2026","SubscriptionServiceTests","SubsTracker.UnitTests","SubsTracker.UnitTests.SubscriptionServiceTests","GetAll_WhenFilteredByEnums_ReturnsMatchingSubscriptions"
"","55","CancelSubscription_WhenSuccessful_PublishesSignal","SubsTracker.UnitTests","Mon Mar 09 13:38:46 UTC 2026","passed","Mon Mar 09 13:38:46 UTC 2026","SubscriptionServiceTests","SubsTracker.UnitTests","SubsTracker.UnitTests.SubscriptionServiceTests","CancelSubscription_WhenSuccessful_PublishesSignal"
"Verifies that the list of users can be filtered by a specific email address and returns exactly one match","28","GetAll_WhenFilteredByEmail_ReturnsMatchingUser","","Mon Mar 09 13:39:14 UTC 2026","passed","Mon Mar 09 13:39:14 UTC 2026","","User API","SubsTracker.IntegrationTests.User.UsersControllerTests","GetAll_WhenFilteredByEmail_ReturnsMatchingUser"
